Id_PG1,Id_PG2,JaroW_Dictance
Accion Popular,Agenda 2030,0.727539
Partido Morado,Agenda 2030,0.553402
Avanza Pais,Agenda 2030,0.805236
Alianza para el Progreso,Agenda 2030,0.536735
APRA,Agenda 2030,0.662496
Democracia Directa,Agenda 2030,0.602672
Frente Amplio,Agenda 2030,0.59549
Frente Esperanza,Agenda 2030,0.660532
Fuerza Popular,Agenda 2030,0.581991
Juntos por el Peru,Agenda 2030,0.585625
Partido Nacionalista,Agenda 2030,0.623859
Peru Libre,Agenda 2030,0.601373
Patria Segura,Agenda 2030,0.547742
Podemos Peru,Agenda 2030,0.585208
PPC,Agenda 2030,0.558062
Renovavion Popular,Agenda 2030,0.798451
Somos Peru,Agenda 2030,0.550809
Union por el Peru,Agenda 2030,0.694414
Victoria Nacional,Agenda 2030,0.550795
